nombreEmpresa;fechaInicioEmpresa;fechaFinEmpresa;nombreEmpleado;nombreCliente;nombreServicio;tarifaBaseServicio;tipoServicio;estadoOrden;codSeguimientoOrden;fechaInicioOrden;fechaFinOrden
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Hana Souza;Abel Orton;REEMPLAZO DE CORREAS;120;TALLER;FINALIZADO;CODSEG0017;24/02/2024;05/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Hana Souza;Abel Orton;REPARACION DE ESCAPE;150;TALLER;FINALIZADO;CODSEG0018;21/03/2024;31/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Jaron Hubbell;Abel Orton;INSPECCION DE SISTEMA DE ENFRIAMIENTO;150;TALLER;FINALIZADO;CODSEG0019;19/03/2024;29/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Jaron Hubbell;Abel Orton;REPARACION DE RADIADOR;180;TALLER;FINALIZADO;CODSEG0020;11/04/2024;21/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Jaron Stapleton;Abel Orton;DIAGNOSTICO DE MOTOR;200;TALLER;FINALIZADO;CODSEG0021;11/01/2024;21/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Ashtyn Kent;Abigail Massey;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0022;12/04/2024;22/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Atticus Hughes;Abigale Crittenden;REPARACION DE RADIADOR;180;TALLER;FINALIZADO;CODSEG0023;13/05/2024;23/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Caspian Persson;Abigale Derby;SERVICIO DE AIRE ACONDICIONADO;180;TALLER;FINALIZADO;CODSEG0024;27/05/2024;06/06/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elsa Howell;Abigale Derby;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0025;05/01/2024;15/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Aubrie Rowena;Abigale Pettersen;ESCANEO ELECTRONICO;100;TALLER;FINALIZADO;CODSEG0026;15/03/2024;25/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elliott Ashburton;Abigale Pettersen;REPARACION DE ESCAPE;150;TALLER;FINALIZADO;CODSEG0027;30/04/2024;10/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Caspian Persson;Abigayle Escobar;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0028;30/01/2024;09/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elsa Howell;Abigayle Escobar;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0029;16/01/2024;26/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Cyrus Olsson;Abraham Cox;DIAGNOSTICO DE MOTOR;200;TALLER;FINALIZADO;CODSEG0030;25/05/2024;04/06/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Annabelle Figueroa;Abril Edwards;MANTENIMIENTO DE TRANSMISION;300;TALLER;FINALIZADO;CODSEG0031;23/01/2024;02/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Annabelle Figueroa;Abril Goadby;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0032;23/05/2024;02/06/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Caspian Persson;Adalind Rowe;REEMPLAZO DE CORREAS;120;TALLER;FINALIZADO;CODSEG0033;16/05/2024;26/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elsa Howell;Adalind Rowe;SERVICIO DE INYECCION ELECTRONICA;200;TALLER;FINALIZADO;CODSEG0034;25/12/2023;04/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Aubrie Rowena;Addison Chatsey;DIAGNOSTICO DE MOTOR;200;TALLER;FINALIZADO;CODSEG0035;23/03/2024;02/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Keith Jacobsen;Addison Robinson;CAMBIO DE ACEITE Y FILTROS;150;TALLER;FINALIZADO;CODSEG0036;19/04/2024;29/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Maxwell Buckston;Addison Robinson;REPARACION DE RADIADOR;180;TALLER;FINALIZADO;CODSEG0037;18/05/2024;28/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Nora Bianchi;Addison Robinson;REEMPLAZO DE CORREAS;120;TALLER;FINALIZADO;CODSEG0038;18/01/2024;28/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Patricia Newton;Addison Robinson;REPARACION DE ESCAPE;150;TALLER;FINALIZADO;CODSEG0039;23/05/2024;02/06/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Caspian Persson;Addisyn Garnet;AJUSTE DE FRENOS;120;TALLER;FINALIZADO;CODSEG0040;10/01/2024;20/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elliott Ashburton;Addisyn Garnet;AJUSTE DE FRENOS;120;TALLER;FINALIZADO;CODSEG0041;28/04/2024;08/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Caspian Persson;Addyson Paquette;AJUSTE DE FRENOS;120;TALLER;FINALIZADO;CODSEG0042;24/04/2024;04/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elliott Ashburton;Addyson Paquette;CAMBIO DE ACEITE Y FILTROS;150;TALLER;FINALIZADO;CODSEG0043;09/06/2024;19/06/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Atticus Hughes;Addyson Riquelme;REPARACION DE RADIADOR;180;TALLER;FINALIZADO;CODSEG0044;22/04/2024;02/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Ashtyn Kent;Adela Clapp;INSPECCION DE SISTEMA DE ENFRIAMIENTO;150;TALLER;FINALIZADO;CODSEG0045;22/12/2023;01/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Ashtyn Kent;Adelaide Sarisbury;SERVICIO DE INYECCION ELECTRONICA;200;TALLER;FINALIZADO;CODSEG0046;29/04/2024;09/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Caspian Persson;Adeline Fanshaw;CAMBIO DE ACEITE Y FILTROS;150;TALLER;FINALIZADO;CODSEG0047;11/03/2024;21/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elsa Howell;Adeline Fanshaw;ESCANEO ELECTRONICO;100;TALLER;FINALIZADO;CODSEG0048;30/03/2024;09/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Cyrus Olsson;Aden Morgan;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0049;17/01/2024;27/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Caspian Persson;Adonis Saterlee;ESCANEO ELECTRONICO;100;TALLER;FINALIZADO;CODSEG0050;09/03/2024;19/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elsa Howell;Adonis Saterlee;SERVICIO DE INYECCION ELECTRONICA;200;TALLER;FINALIZADO;CODSEG0051;28/03/2024;07/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Cyrus Olsson;Adonis Stukeby;REPARACION DE ESCAPE;150;TALLER;FINALIZADO;CODSEG0052;02/05/2024;12/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Levi Moseley;Adrian Garrah;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0053;29/02/2024;10/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Nora Bianchi;Adrian Garrah;ESCANEO ELECTRONICO;100;TALLER;FINALIZADO;CODSEG0054;02/03/2024;12/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Patricia Newton;Adrian Garrah;REEMPLAZO DE CORREAS;120;TALLER;FINALIZADO;CODSEG0055;05/03/2024;15/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Shaylee Sellick;Adrian Garrah;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0056;03/04/2024;13/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Aubrie Rowena;Adriana Gallo;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0057;01/02/2024;11/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elliott Ashburton;Adriana Gallo;AJUSTE DE LUCES;70;TALLER;FINALIZADO;CODSEG0058;18/03/2024;28/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Atticus Hughes;Adrianna Percey;CAMBIO DE ACEITE Y FILTROS;150;TALLER;FINALIZADO;CODSEG0059;14/01/2024;24/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Caspian Persson;Adrienne Cotesworth;REPARACION DE RADIADOR;180;TALLER;FINALIZADO;CODSEG0060;04/04/2024;14/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elliott Ashburton;Adrienne Cotesworth;ESCANEO ELECTRONICO;100;TALLER;FINALIZADO;CODSEG0061;20/05/2024;30/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Annabelle Figueroa;Adrienne Olsson;REPARACION DE RADIADOR;180;TALLER;FINALIZADO;CODSEG0062;30/03/2024;09/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Aubrie Rowena;Aedan Clauson;INSPECCION DE SISTEMA DE ENFRIAMIENTO;150;TALLER;FINALIZADO;CODSEG0063;25/01/2024;04/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Aubrie Rowena;Ahmad Bloss;SERVICIO DE INYECCION ELECTRONICA;200;TALLER;FINALIZADO;CODSEG0064;22/01/2024;01/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Cyrus Olsson;Ahmed Ram’rez;CAMBIO DE ACEITE Y FILTROS;150;TALLER;FINALIZADO;CODSEG0065;26/12/2023;05/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Annabelle Figueroa;Aidan Falkland;AJUSTE DE FRENOS;120;TALLER;FINALIZADO;CODSEG0066;02/06/2024;12/06/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Aubrie Rowena;Aidan O'Connor;REEMPLAZO DE CORREAS;120;TALLER;FINALIZADO;CODSEG0067;20/03/2024;30/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elliott Ashburton;Aidan O'Connor;ESCANEO ELECTRONICO;100;TALLER;FINALIZADO;CODSEG0068;05/05/2024;15/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Keith Jacobsen;Aileen Pangbourn;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0069;12/06/2024;22/06/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Maxwell Buckston;Aileen Pangbourn;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0070;18/03/2024;28/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Nora Bianchi;Aileen Pangbourn;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0071;22/12/2023;01/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Shaylee Sellick;Aileen Pangbourn;DIAGNOSTICO DE MOTOR;200;TALLER;FINALIZADO;CODSEG0072;20/01/2024;30/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Atticus Hughes;Aileen Simpson;ESCANEO ELECTRONICO;100;TALLER;FINALIZADO;CODSEG0073;02/05/2024;12/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Cyrus Olsson;Aiyana Pettersson;ESCANEO ELECTRONICO;100;TALLER;FINALIZADO;CODSEG0074;19/02/2024;29/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Evelyn Eriksson;Aiyana Pettersson;SERVICIO DE INYECCION ELECTRONICA;200;TALLER;FINALIZADO;CODSEG0075;10/02/2024;20/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Caspian Persson;Aiyana Reynard;AJUSTE DE FRENOS;120;TALLER;FINALIZADO;CODSEG0076;27/12/2023;06/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elliott Ashburton;Aiyana Reynard;DIAGNOSTICO DE MOTOR;200;TALLER;FINALIZADO;CODSEG0077;14/04/2024;24/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Cyrus Olsson;Alan Jonsson;REPARACION DE SUSPENSION;250;TALLER;FINALIZADO;CODSEG0078;10/06/2024;20/06/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elsa Howell;Alan Jonsson;REPARACION DE SUSPENSION;250;TALLER;FINALIZADO;CODSEG0079;19/01/2024;29/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Evelyn Eriksson;Alana Barnum;AJUSTE DE FRENOS;120;TALLER;FINALIZADO;CODSEG0080;30/01/2024;09/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Evelyn Eriksson;Alana Barnum;CAMBIO DE ACEITE Y FILTROS;150;TALLER;FINALIZADO;CODSEG0081;10/05/2024;20/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Everett Skeffington;Alana Barnum;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0082;08/01/2024;18/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Everett Skeffington;Alana Barnum;REEMPLAZO DE CORREAS;120;TALLER;FINALIZADO;CODSEG0083;25/03/2024;04/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Everett Skeffington;Alana Barnum;DIAGNOSTICO DE MOTOR;200;TALLER;FINALIZADO;CODSEG0084;16/04/2024;26/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Gonzalo Collins;Alana Barnum;ALINEACION Y BALANCEO;100;TALLER;FINALIZADO;CODSEG0085;15/02/2024;25/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Gonzalo Collins;Alana Barnum;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0086;02/05/2024;12/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Gonzalo Collins;Alana Barnum;REPARACION DE RADIADOR;180;TALLER;FINALIZADO;CODSEG0087;10/06/2024;20/06/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Hana Souza;Alana Barnum;REEMPLAZO DE CORREAS;120;TALLER;FINALIZADO;CODSEG0088;12/01/2024;22/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Hana Souza;Alana Barnum;SERVICIO DE AIRE ACONDICIONADO;180;TALLER;FINALIZADO;CODSEG0089;22/01/2024;01/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Hana Souza;Alana Barnum;ESCANEO ELECTRONICO;100;TALLER;FINALIZADO;CODSEG0090;17/02/2024;27/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Hana Souza;Alana Barnum;MANTENIMIENTO DE TRANSMISION;300;TALLER;FINALIZADO;CODSEG0091;04/05/2024;14/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Jaron Hubbell;Alana Barnum;AJUSTE DE FRENOS;120;TALLER;FINALIZADO;CODSEG0092;09/03/2024;19/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Jaron Hubbell;Alana Barnum;INSPECCION DE SISTEMA DE ENFRIAMIENTO;150;TALLER;FINALIZADO;CODSEG0093;02/05/2024;12/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Jaron Hubbell;Alana Barnum;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0094;09/06/2024;19/06/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Jaron Stapleton;Alana Barnum;SERVICIO DE INYECCION ELECTRONICA;200;TALLER;FINALIZADO;CODSEG0095;20/01/2024;30/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Jaron Stapleton;Alana Barnum;REPARACION DE ESCAPE;150;TALLER;FINALIZADO;CODSEG0096;23/01/2024;02/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Keith Jacobsen;Alana Oswald;REPARACION DE RADIADOR;180;TALLER;FINALIZADO;CODSEG0097;18/05/2024;28/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Maxwell Buckston;Alana Oswald;REPARACION DE RADIADOR;180;TALLER;FINALIZADO;CODSEG0098;22/02/2024;03/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Nora Bianchi;Alana Oswald;INSPECCION DE SISTEMA DE ENFRIAMIENTO;150;TALLER;FINALIZADO;CODSEG0099;08/01/2024;18/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Shaylee Sellick;Alana Oswald;SERVICIO DE INYECCION ELECTRONICA;200;TALLER;FINALIZADO;CODSEG0100;26/12/2023;05/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Aubrie Rowena;Alayna Colby;CAMBIO DE ACEITE Y FILTROS;150;TALLER;FINALIZADO;CODSEG0101;20/03/2024;30/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Annabelle Figueroa;Alberto Caw;AJUSTE DE FRENOS;120;TALLER;FINALIZADO;CODSEG0102;18/05/2024;28/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Caspian Persson;Alberto Simpson;ALINEACION Y BALANCEO;100;TALLER;FINALIZADO;CODSEG0103;07/01/2024;17/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elliott Ashburton;Alberto Simpson;INSPECCION DE SISTEMA DE ENFRIAMIENTO;150;TALLER;FINALIZADO;CODSEG0104;25/04/2024;05/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Caspian Persson;Alec Bushwell;REPARACION DE ESCAPE;150;TALLER;FINALIZADO;CODSEG0105;30/12/2023;09/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elliott Ashburton;Alec Bushwell;SERVICIO DE AIRE ACONDICIONADO;180;TALLER;FINALIZADO;CODSEG0106;17/04/2024;27/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Keith Jacobsen;Alena Hastings;MANTENIMIENTO DE TRANSMISION;300;TALLER;FINALIZADO;CODSEG0107;10/05/2024;20/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Maxwell Buckston;Alena Hastings;MANTENIMIENTO DE TRANSMISION;300;TALLER;FINALIZADO;CODSEG0108;08/06/2024;18/06/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Nora Bianchi;Alena Hastings;DIAGNOSTICO DE MOTOR;200;TALLER;FINALIZADO;CODSEG0109;31/12/2023;10/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Patricia Newton;Alena Hastings;REPARACION DE RADIADOR;180;TALLER;FINALIZADO;CODSEG0110;13/06/2024;23/06/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Ashtyn Kent;Alena MacLeod;CAMBIO DE ACEITE Y FILTROS;150;TALLER;FINALIZADO;CODSEG0111;18/03/2024;28/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Atticus Hughes;Alena Shiel;CAMBIO DE ACEITE Y FILTROS;150;TALLER;FINALIZADO;CODSEG0112;06/03/2024;16/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Aubrie Rowena;Alessia Horton;ALINEACION Y BALANCEO;100;TALLER;FINALIZADO;CODSEG0113;16/01/2024;26/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Ashtyn Kent;Alexander Sheldon;ESCANEO ELECTRONICO;100;TALLER;FINALIZADO;CODSEG0114;05/05/2024;15/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Annabelle Figueroa;Alexandra Ruiz;SERVICIO DE INYECCION ELECTRONICA;200;TALLER;FINALIZADO;CODSEG0115;29/03/2024;08/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Evelyn Eriksson;Alexandria Parsall;CAMBIO DE ACEITE Y FILTROS;150;TALLER;FINALIZADO;CODSEG0116;13/02/2024;23/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Evelyn Eriksson;Alexandria Parsall;REPARACION DE RADIADOR;180;TALLER;FINALIZADO;CODSEG0117;24/05/2024;03/06/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Everett Skeffington;Alexandria Parsall;SERVICIO DE AIRE ACONDICIONADO;180;TALLER;FINALIZADO;CODSEG0118;22/01/2024;01/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Everett Skeffington;Alexandria Parsall;REPARACION DE RADIADOR;180;TALLER;FINALIZADO;CODSEG0119;08/04/2024;18/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Everett Skeffington;Alexandria Parsall;AJUSTE DE FRENOS;120;TALLER;FINALIZADO;CODSEG0120;30/04/2024;10/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Gonzalo Collins;Alexandria Parsall;REPARACION DE ESCAPE;150;TALLER;FINALIZADO;CODSEG0121;29/12/2023;08/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Gonzalo Collins;Alexandria Parsall;CAMBIO DE ACEITE Y FILTROS;150;TALLER;FINALIZADO;CODSEG0122;29/02/2024;10/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Gonzalo Collins;Alexandria Parsall;AJUSTE DE LUCES;70;TALLER;FINALIZADO;CODSEG0123;16/05/2024;26/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Hana Souza;Alexandria Parsall;AJUSTE DE FRENOS;120;TALLER;FINALIZADO;CODSEG0124;05/02/2024;15/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Hana Souza;Alexandria Parsall;AJUSTE DE FRENOS;120;TALLER;FINALIZADO;CODSEG0125;02/03/2024;12/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Jaron Hubbell;Alexandria Parsall;REPARACION DE ESCAPE;150;TALLER;FINALIZADO;CODSEG0126;29/02/2024;10/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Jaron Hubbell;Alexandria Parsall;INSPECCION DE SISTEMA DE ENFRIAMIENTO;150;TALLER;FINALIZADO;CODSEG0127;23/03/2024;02/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Jaron Stapleton;Alexandria Parsall;REPARACION DE RADIADOR;180;TALLER;FINALIZADO;CODSEG0128;23/12/2023;02/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Caspian Persson;Alexia Byrne;ALINEACION Y BALANCEO;100;TALLER;FINALIZADO;CODSEG0129;08/02/2024;18/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elsa Howell;Alexia Byrne;ALINEACION Y BALANCEO;100;TALLER;FINALIZADO;CODSEG0130;25/01/2024;04/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Aubrie Rowena;Alexia Stapleton;CAMBIO DE ACEITE Y FILTROS;150;TALLER;FINALIZADO;CODSEG0131;17/03/2024;27/03/2024
